timeframe,universe,kama_p,tsmom_p,btc_ma_p,return,sharpe,mdd,trades,win_rate
4h,btc_only,30,360,180,0.13424764866115146,0.21615586395101655,-0.7591928715482367,1532,0.1866840731070496
4h,btc_only,60,360,180,0.8485620599611488,0.356012242053162,-0.6831877382644357,1402,0.181169757489301
4h,btc_only,120,180,300,3.3972442504891855,0.6136702305520241,-0.6164283615578638,976,0.17008196721311475
4h,top5,30,360,180,2.1835743266957572,0.5248445416986111,-0.708186665587,2068,0.19729206963249515
4h,top5,60,360,180,2.1402290862983895,0.5271372311202305,-0.6713528606449514,1838,0.18607181719260066
4h,top5,120,180,300,1.7687449471208188,0.48601522124799224,-0.6150299481757453,1092,0.184981684981685
4h,top10,30,360,180,1.4716581782848916,0.4410336367386103,-0.8171990356377694,4152,0.18689788053949905
4h,top10,60,360,180,3.1715256836305876,0.5725078092461707,-0.7009530791284317,3612,0.1805094130675526
4h,top10,120,180,300,9.406285457501005,0.6681011355729733,-0.6827401925471527,2104,0.18346007604562736
