strategy,initial_capital,final_value,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,trading_days,start_date,end_date
MomRotation_L20_Top2_R20,100000000,740664906.8150017,640.6649068150017,64.85732058929563,-52.559261308999915,1.2361216227703877,979,2022-01-27,2026-01-29
MomRotation_L20_Top2_R10,100000000,565948997.3920047,465.94899739200474,54.14770099676822,-42.20086397460046,1.123187663128952,979,2022-01-27,2026-01-29
MomRotation_L20_Top3_R10,100000000,562655409.9700034,462.65540997000335,53.92324807942093,-53.98190293647698,1.228242788382211,979,2022-01-27,2026-01-29
MomRotation_L20_Top3_R20,100000000,558852487.7120013,458.85248771200133,53.66285509425715,-53.105171372596274,1.2068232542707207,979,2022-01-27,2026-01-29
CombinedRotation_Top2_R20,100000000,551602780.3920012,451.6027803920012,53.16274837866586,-63.544454204842495,1.1608676350236315,979,2022-01-27,2026-01-29
CombinedRotation_Top3_R20,100000000,540910492.612001,440.91049261200095,52.41608288132791,-42.6426217606439,1.3119872795422853,979,2022-01-27,2026-01-29
MomRotation_L20_Top5_R10,100000000,530671445.4790023,430.6714454790023,51.690614591209226,-36.26766735553857,1.4260076942586464,979,2022-01-27,2026-01-29
CombinedRotation_Top2_R10,100000000,489131450.17600363,389.1314501760037,48.634893571645144,-56.879527518919204,1.101106561416635,979,2022-01-27,2026-01-29
MomRotation_L20_Top5_R20,100000000,484092431.86800086,384.09243186800086,48.251122302982274,-36.29983347524803,1.3555699319371506,979,2022-01-27,2026-01-29
CombinedRotation_Top3_R10,100000000,425804392.96700215,325.8043929670022,43.57786574961289,-39.086630896388755,1.1526646834898413,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top5_R20,100000000,394575704.7400007,294.57570474000073,40.87335236160834,-32.7982329372571,1.273700059718983,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top5_R10,100000000,379080221.85500133,279.08022185500135,39.47134605607074,-40.241888649046835,1.2795163591387113,979,2022-01-27,2026-01-29
CombinedRotation_Top5_R20,100000000,328528864.6300005,228.52886463000047,34.57575879197166,-38.85545421761263,1.1225581341451796,979,2022-01-27,2026-01-29
CombinedRotation_Top5_R10,100000000,301051625.84400105,201.05162584400108,31.67297929540318,-43.84226712571792,1.0521977212591633,979,2022-01-27,2026-01-29
MomRotation_L20_Top5_R5,100000000,283246113.07200277,183.24611307200277,29.68401763528088,-44.140555732985106,0.959511858944179,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top3_R10,100000000,282270948.4760014,182.2709484760014,29.57240636731282,-42.581540267694486,0.949908743763133,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top5_R5,100000000,272341384.1670023,172.3413841670023,28.41912431242468,-42.620299103756146,1.0017558349898168,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top3_R20,100000000,271624927.3900006,171.62492739000058,28.334697373860564,-43.02312316552983,0.9086400568273517,979,2022-01-27,2026-01-29
MomRotation_L20_Top2_R5,100000000,212870924.4850056,112.8709244850056,20.75828828123898,-53.64995771453327,0.6344537649626456,979,2022-01-27,2026-01-29
CombinedRotation_Top3_R5,100000000,212504821.68200284,112.50482168200284,20.70640469751637,-38.182086935395986,0.6963729432450715,979,2022-01-27,2026-01-29
CombinedRotation_Top5_R5,100000000,179582545.25500184,79.58254525500185,15.738841905108615,-41.514779042396945,0.6353625614816335,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top3_R5,100000000,174440662.08400226,74.44066208400226,14.902464872537568,-48.15949135086756,0.5854413003991713,979,2022-01-27,2026-01-29
MomRotation_L20_Top3_R5,100000000,160186055.60300294,60.18605560300293,12.48283238867609,-62.751388012060325,0.49655760926392767,979,2022-01-27,2026-01-29
CombinedRotation_Top2_R5,100000000,155647523.74100378,55.64752374100378,11.678580899444668,-60.24060300864189,0.4761152063387325,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top2_R10,100000000,155004272.71500126,55.00427271500126,11.563174862337267,-46.63859910897203,0.48606387536022905,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top2_R20,100000000,130410822.91200049,30.41082291200049,6.853560710213968,-53.10612024244489,0.3685104095944658,979,2022-01-27,2026-01-29
ForeignRotation_L20_Top2_R5,100000000,89739094.77500208,-10.260905224997922,-2.666690533992344,-54.60210287248607,0.11399634323031131,979,2022-01-27,2026-01-29
LongShort_Top3_R5,100000000,68480560.88800047,-31.519439111999525,-9.019561791965003,-33.802281981369944,-0.38799276122896337,979,2022-01-27,2026-01-29
LongShort_Top3_R10,100000000,67519278.84200035,-32.480721157999646,-9.340098240565897,-41.477922076053964,-0.36504869004694135,979,2022-01-27,2026-01-29
LongShort_Top3_R20,100000000,63454211.429000124,-36.545788570999875,-10.734709094535976,-38.41150386878391,-0.3909544011993537,979,2022-01-27,2026-01-29
LongShort_Top2_R10,100000000,39999645.42900027,-60.000354570999725,-20.448194996870438,-63.459182355917285,-0.8500318027873843,979,2022-01-27,2026-01-29
LongShort_Top2_R5,100000000,37052283.30100041,-62.94771669899959,-21.953917744422913,-65.3385297311331,-1.0445590171892654,979,2022-01-27,2026-01-29
LongShort_Top2_R20,100000000,27890887.359000128,-72.10911264099987,-27.296535984301762,-74.4025133210651,-1.08730167975151,979,2022-01-27,2026-01-29
