strategy,avg_return,median_return,std_return,avg_win_rate,avg_trades,profitable_pct,tested_stocks,sharpe_approx
Bollinger_20_2.5,-3.822555765820746,-4.846265917707365,23.682946383038615,54.47683350737054,21.095238095238095,38.283208020050125,1596,-0.16140541400534544
Breakout_50,1.9503839807634962,-9.467549568684884,50.767403571659486,37.795010761872476,25.974937343358395,37.15538847117795,1596,0.03841803684150361
MACD_12_26_9,25.153031987392104,-31.704714636415737,205.08848752333412,30.801514655722702,79.05764411027569,35.0250626566416,1596,0.12264477782805969
Breakout_20,-3.8008405520799338,-18.984461065959753,64.72781122544961,36.49937031054131,49.93295739348371,30.952380952380953,1596,-0.0587203627022309
GoldenCross_10_30,12.881305233574952,-32.231160295928625,181.68277188745407,30.260060223217543,39.519423558897245,30.451127819548873,1596,0.07089998187364985
GoldenCross_20_60,-1.7911475682965474,-41.34414331563738,166.85852627695152,27.092572789782555,20.18859649122807,26.879699248120303,1596,-0.010734528275310328
GoldenCross_5_20,5.712207119160228,-40.35893115091467,193.07079986079674,29.02307043653486,62.964285714285715,26.378446115288224,1596,0.029586074762619236
MACD_8_21_5,0.9289512713195065,-44.536537941348485,200.9506147563831,30.30857858928397,121.95989974937343,26.190476190476193,1596,0.004622783923531136
TrendFollow_20,3.2368195712091157,-45.17464635276055,231.19209291959527,21.749547576158104,112.99749373433583,26.00250626566416,1596,0.014000563472275962
Breakout_10,-6.18194303871247,-26.98534435151716,129.4035660016558,35.91918401090015,78.90914786967419,25.75187969924812,1596,-0.04777258641105275
VolumeBK_3x,-15.090945411411312,-23.67678015031846,47.77317431038527,40.56631580135686,55.25062656641604,25.25062656641604,1596,-0.315887433256256
VolumeBK_2x,-20.105291755170963,-32.37009172588709,54.736110814297426,39.69806952491216,87.32205513784461,23.809523809523807,1596,-0.3673131221065734
TrendFollow_100,-3.4186057455820618,-47.40463532356473,319.4945462296327,13.124130533629181,49.05325814536341,23.1203007518797,1596,-0.010700044135103896
Momentum_20,-7.224687640161335,-48.244415136238445,161.01759255176918,28.05860751195904,101.13345864661655,22.305764411027567,1596,-0.04486893342315068
TrendFollow_50,-8.058035608662134,-51.10760840128097,218.91138864963494,16.466405251254592,71.02380952380952,22.05513784461153,1596,-0.03680957696339373
Momentum_60,-14.963059038859024,-52.366512974587025,172.25710822589056,25.7276517033923,59.211779448621556,20.80200501253133,1596,-0.08686468264193262
DualMom_20_60,-16.33298461964571,-47.65263978258819,126.75190012182067,27.619096370129764,71.50438596491227,20.739348370927317,1596,-0.12885790748657933
Momentum_10,-16.43923276363667,-54.38162463511318,146.65362203074557,28.463633783791327,144.87531328320802,20.238095238095237,1596,-0.1120956477992083
DualMom_10_30,-22.955161985374982,-52.89268799723919,113.66248717697432,28.22024771786681,103.47744360902256,19.423558897243108,1596,-0.20195899769141445
Bollinger_20_2,-21.097084678774728,-26.462777540354427,39.03797151656888,55.81362568134082,54.98370927318296,19.235588972431078,1596,-0.5404247162232929
RSI_14_30,-29.04855525124634,-36.69417480221957,40.844845890882,56.428261682795856,74.99937343358395,17.543859649122805,1596,-0.7111926760318857
RSI_14_40,-38.66098907837011,-54.086070625599035,86.55893684892683,56.24384253439506,110.49874686716792,11.403508771929824,1596,-0.4466435296663354
RSI_7_25,-42.147781541831044,-51.251649061924255,48.28824803762289,56.525168231382594,117.98558897243107,9.962406015037594,1596,-0.8728372482884942
VolBreak_0.6,-57.21305585343214,-72.33993183129223,68.41235538561385,39.97381297761393,268.82581453634083,6.0776942355889725,1596,-0.836297121052833
VolBreak_0.5,-62.49502950625331,-76.93925859904243,67.51596639885389,39.58525299417653,308.4016290726817,4.887218045112782,1596,-0.9256333403725698
